instant,season,year,month,holiday,week_day,working_day,weather,temperature,feeling_temperature,humidity,wind_speed,y
108,2,0,4,0,1,1,1,0.5125,0.503146,0.5425,0.163567,3429
134,2,0,5,0,6,0,2,0.520833,0.500629,0.9225,0.13495,3409
419,1,1,2,0,4,1,1,0.454167,0.444446,0.554583,0.190913,5062
224,3,0,8,0,5,1,1,0.708333,0.654042,0.415,0.125621,4905
550,3,1,7,0,2,1,1,0.780833,0.70265,0.492083,0.126237,6660
103,2,0,4,0,3,1,2,0.4125,0.417283,0.819167,0.250617,2162
109,2,0,4,0,2,1,2,0.505833,0.489258,0.665833,0.157971,3204
214,3,0,8,0,2,1,1,0.783333,0.707071,0.49125,0.20585,4845
482,2,1,4,0,4,1,2,0.498333,0.483583,0.756667,0.176625,5026
409,1,1,2,0,1,1,1,0.2225,0.227913,0.41125,0.167283,3422
247,3,0,9,0,0,0,1,0.709167,0.665429,0.742083,0.206467,4940
606,3,1,8,0,2,1,1,0.728333,0.66605,0.62,0.190925,7040
543,3,1,6,0,2,1,1,0.630833,0.594704,0.373333,0.347642,7442
126,2,0,5,0,5,1,1,0.479167,0.474117,0.59,0.228246,4608
423,1,1,2,0,1,1,1,0.366667,0.357954,0.490833,0.268033,4322
527,2,1,6,0,0,0,1,0.726667,0.663517,0.538333,0.133721,6598
386,1,1,1,0,6,0,2,0.173333,0.174875,0.83125,0.222642,1301
592,3,1,8,0,2,1,1,0.726667,0.676779,0.686667,0.169158,6784
225,3,0,8,0,6,0,2,0.685833,0.645858,0.729583,0.211454,4150
27,1,0,1,0,4,1,1,0.195,0.2197,0.6875,0.113837,431
539,3,1,6,0,5,1,1,0.7775,0.724121,0.57375,0.182842,5823
515,2,1,5,0,2,1,1,0.7225,0.672992,0.684583,0.2954,5743
328,4,0,11,1,4,0,1,0.373333,0.372471,0.549167,0.167304,1495
4,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,1562
135,2,0,5,0,0,0,2,0.5625,0.536,0.867083,0.152979,4553
339,4,0,12,0,1,1,2,0.385833,0.393925,0.827083,0.0622083,3811
187,3,0,7,0,3,1,1,0.72,0.685633,0.743333,0.149883,4629
459,2,1,4,0,2,1,1,0.466667,0.461483,0.396667,0.100133,6772
296,4,0,10,0,0,0,1,0.421667,0.422333,0.74125,0.0995125,4381
666,4,1,10,0,6,0,2,0.53,0.515133,0.72,0.235692,7852
401,1,1,2,0,0,0,2,0.265833,0.264521,0.687917,0.175996,2947
578,3,1,7,0,2,1,1,0.713333,0.662896,0.704167,0.165425,7216
658,4,1,10,0,5,1,2,0.563333,0.537896,0.815,0.134954,5424
226,3,0,8,0,0,0,2,0.676667,0.624388,0.8175,0.222633,3820
599,3,1,8,0,2,1,1,0.649167,0.601025,0.67375,0.0727708,7006
667,4,1,10,0,0,0,2,0.4775,0.467771,0.694583,0.398008,4459
492,2,1,5,0,0,0,2,0.5625,0.546737,0.74,0.149879,6359
491,2,1,5,0,6,0,2,0.621667,0.584608,0.756667,0.152992,6883
698,4,1,11,0,3,1,1,0.296667,0.289762,0.50625,0.210821,5260
464,2,1,4,0,0,0,1,0.5,0.492425,0.275833,0.232596,5169
479,2,1,4,0,1,1,2,0.321667,0.301125,0.766667,0.303496,3214
368,1,1,1,0,2,1,1,0.15,0.126275,0.44125,0.365671,2236
714,4,1,12,0,5,1,1,0.281667,0.294192,0.642917,0.131229,5611
113,2,0,4,0,6,0,2,0.46,0.450121,0.887917,0.230725,4036
428,1,1,3,0,6,0,2,0.414167,0.413492,0.62125,0.161079,4066
644,4,1,10,0,5,1,1,0.615,0.580187,0.6275,0.10635,8156
21,1,0,1,0,5,1,1,0.1775,0.157833,0.457083,0.353242,1543
